using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8958, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1897, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2242, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4378, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6243, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9850, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4593, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1868, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 8.0096, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9555, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.8227, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7085, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 7.7688, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 8.0829, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 12.2752, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 9.1627, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.2309, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.1551, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 7.9004, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 7.9242, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 8.5146, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 8.1837, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 8.0534, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.8208, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.7045, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 10.9235, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 8.4018, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.8626, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.7724, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 7.8136, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 7.7647, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 7.7168, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.7896, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.8129, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.6697, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.7058, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 7.9422, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.6180, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.6042, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 7.7544, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.7001, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.7226, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 7.7331, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 9.7606, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.6689, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.6401, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.7121, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 7.6695, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.6252, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.5260, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.6160, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.6546, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.5328, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.5050, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.5887, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.5709, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.6613, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.5943, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.5603, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 10.8436, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 7.8830, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 7.6577, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 7.5420, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.5273, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.6132, Dealed Nodes [1355/1355] 
