using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8958, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1897, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2242, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4378, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6243, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9850, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4593, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1868, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 8.0096, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9555, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.8227, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7087, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 7.7695, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 8.0328, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 8.7787, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 8.7301, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.0710, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.1289, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 7.7413, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 7.5574, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 8.5907, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 8.1101, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 8.1186, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.8809, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.7727, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 7.8249, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 7.7396, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.7146, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.6261, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 7.8503, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 10.1493, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 7.9734, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.7475, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 8.1253, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.7988, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.8345, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 8.0180, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.6278, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 8.0249, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 7.9081, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.7370, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.8672, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 8.2607, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 7.9967, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.7246, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.7369, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.6399, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 7.6705, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.6540, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.5345, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.6404, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.6151, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.7352, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.4665, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.5322, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.5588, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 8.0568, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.8966, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.6219, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 8.9649, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 8.0380, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 7.6931, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 7.8402, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.6181, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.7542, Dealed Nodes [1355/1355] 
